id,name,category,price,stock
1,clothing-1,clothing,1.37,7
2,books-2,books,2.74,14
3,home-3,home,4.11,21
4,toys-4,toys,5.48,28
5,food-5,food,6.85,35
6,electronics-6,electronics,8.22,42
7,clothing-7,clothing,9.59,49
8,books-8,books,10.96,56
9,home-9,home,12.33,63
10,toys-10,toys,13.70,70
11,food-11,food,15.07,77
12,electronics-12,electronics,16.44,84
13,clothing-13,clothing,17.81,91
14,books-14,books,19.18,98
15,home-15,home,20.55,105
16,toys-16,toys,21.92,112
17,food-17,food,23.29,119
18,electronics-18,electronics,24.66,126
19,clothing-19,clothing,26.03,133
20,books-20,books,27.40,140
21,home-21,home,28.77,147
22,toys-22,toys,30.14,154
23,food-23,food,31.51,161
24,electronics-24,electronics,32.88,168
25,clothing-25,clothing,34.25,175
26,books-26,books,35.62,182
27,home-27,home,36.99,189
28,toys-28,toys,38.36,196
29,food-29,food,39.73,203
30,electronics-30,electronics,41.10,210
31,clothing-31,clothing,42.47,217
32,books-32,books,43.84,224
33,home-33,home,45.21,231
34,toys-34,toys,46.58,238
35,food-35,food,47.95,245
36,electronics-36,electronics,49.32,252
37,clothing-37,clothing,50.69,259
38,books-38,books,52.06,266
39,home-39,home,53.43,273
40,toys-40,toys,54.80,280
41,food-41,food,56.17,287
42,electronics-42,electronics,57.54,294
43,clothing-43,clothing,58.91,301
44,books-44,books,60.28,308
45,home-45,home,61.65,315
46,toys-46,toys,63.02,322
47,food-47,food,64.39,329
48,electronics-48,electronics,65.76,336
49,clothing-49,clothing,67.13,343
50,books-50,books,68.50,350
51,home-51,home,69.87,357
52,toys-52,toys,71.24,364
53,food-53,food,72.61,371
54,electronics-54,electronics,73.98,378
55,clothing-55,clothing,75.35,385
56,books-56,books,76.72,392
57,home-57,home,78.09,399
58,toys-58,toys,79.46,406
59,food-59,food,80.83,413
60,electronics-60,electronics,82.20,420
61,clothing-61,clothing,83.57,427
62,books-62,books,84.94,434
63,home-63,home,86.31,441
64,toys-64,toys,87.68,448
65,food-65,food,89.05,455
66,electronics-66,electronics,90.42,462
67,clothing-67,clothing,91.79,469
68,books-68,books,93.16,476
69,home-69,home,94.53,483
70,toys-70,toys,95.90,490
71,food-71,food,97.27,497
72,electronics-72,electronics,98.64,4
73,clothing-73,clothing,0.01,11
74,books-74,books,1.38,18
75,home-75,home,2.75,25
76,toys-76,toys,4.12,32
77,food-77,food,5.49,39
78,electronics-78,electronics,6.86,46
79,clothing-79,clothing,8.23,53
80,books-80,books,9.60,60
81,home-81,home,10.97,67
82,toys-82,toys,12.34,74
83,food-83,food,13.71,81
84,electronics-84,electronics,15.08,88
85,clothing-85,clothing,16.45,95
86,books-86,books,17.82,102
87,home-87,home,19.19,109
88,toys-88,toys,20.56,116
89,food-89,food,21.93,123
90,electronics-90,electronics,23.30,130
91,clothing-91,clothing,24.67,137
92,books-92,books,26.04,144
93,home-93,home,27.41,151
94,toys-94,toys,28.78,158
95,food-95,food,30.15,165
96,electronics-96,electronics,31.52,172
97,clothing-97,clothing,32.89,179
98,books-98,books,34.26,186
99,home-99,home,35.63,193
100,toys-100,toys,37.00,200
101,food-101,food,38.37,207
102,electronics-102,electronics,39.74,214
103,clothing-103,clothing,41.11,221
104,books-104,books,42.48,228
105,home-105,home,43.85,235
106,toys-106,toys,45.22,242
107,food-107,food,46.59,249
108,electronics-108,electronics,47.96,256
109,clothing-109,clothing,49.33,263
110,books-110,books,50.70,270
111,home-111,home,52.07,277
112,toys-112,toys,53.44,284
